COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG CITE DE LA REUSSITE;1ère A2;4;3;7;4;2;6;12.4;13.01;10.97;12.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.0;0.0;50.0;25.0;100.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CITE DE LA REUSSITE;Tle A2;4;2;6;4;1;5;11.81;10.43;8.63;10.43;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;20.0;0.0;0.0;0.0;75.0;100.0;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CITE DE LA REUSSITE;Tle B;1;1;2;1;1;2;8.78;9.91;8.78;9.91;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;50.0;0.0;100.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CITE DE LA REUSSITE;Cycle 2;10;8;18;10;5;15;14.37;14.53;0;0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;13.3;0.0;20.0;6.7;60.0;20.0;46.7;10.0;40.0;20.0;10.0;20.0;13.3;0.0;0.0;0.0;;;;
CPEG CLE D'OR;6e;20;10;30;20;10;30;17.78;17.07;5.97;8.93;5.0;0.0;3.3;0.0;0.0;0.0;15.0;10.0;13.3;10.0;10.0;10.0;15.0;20.0;16.7;30.0;10.0;23.3;15.0;40.0;23.3;10.0;10.0;10.0;;;;
CPEG CLE D'OR;5e;20;14;34;20;14;34;18.27;16.43;8.24;10.21;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.9;5.0;0.0;2.9;25.0;57.1;38.2;35.0;28.6;32.4;25.0;7.1;17.6;5.0;7.1;5.9;;;;
CPEG CLE D'OR;4e;12;12;24;12;12;24;15.53;14.82;8.46;8.36;0.0;0.0;0.0;0.0;0.0;0.0;16.7;16.7;16.7;33.3;16.7;25.0;33.3;41.7;37.5;8.3;16.7;12.5;8.3;8.3;8.3;0.0;0.0;0.0;;;;
CPEG CLE D'OR;3e;15;5;20;15;5;20;15.09;12.44;7.95;8.99;0.0;0.0;0.0;0.0;0.0;0.0;26.7;20.0;25.0;20.0;0.0;15.0;26.7;60.0;35.0;20.0;20.0;20.0;6.7;0.0;5.0;0.0;0.0;0.0;;;;
CPEG CLE D'OR;Cycle 1;67;41;108;67;41;108;18.27;17.07;5.97;8.36;1.5;0.0;0.9;0.0;0.0;0.0;14.9;9.8;13.0;14.9;7.3;12.0;23.9;43.9;31.5;25.4;19.5;23.1;14.9;14.6;14.8;4.5;4.9;4.6;;;;
CPEG CLE DU TRESOR;6e;2;8;10;2;8;10;13.46;18.14;9.74;13.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;10.0;0.0;0.0;0.0;50.0;25.0;30.0;0.0;50.0;40.0;0.0;25.0;20.0;;;;
